,If you liked,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-3850803681204406658,-3850803681204406658,-7613994611628693820,-4487024160266973763,1797761064772338938,-2720012228333470715,4785499183287168509
-3780822597455574960,-3780822597455574960,-4132331404553626868,-1483274517395674620,139485217095648183,8974280745225397183,7506614456429888492
-3750879736572068916,-3750879736572068916,-538948733779286129,7395435905985567130,-401664538366009049,7155061818771055780,8890720798209849691
-3723217532224917485,-3723217532224917485,-4336877432539963613,-5784991738549272379,1441248639512899483,-5255285107284514595,8342423402350940832
-3716447017462787559,-3716447017462787559,-1453783314552286835,-4027027091658759481,-3662111110237135231,-6727357771678896471,7155061818771055780
-3700095596785790870,-3700095596785790870,-8800029253812071912,511891900317865118,-4228415104574264137,-1901742495252324928,7534917347133949300
-3678789633202302491,-3678789633202302491,1561244083438776495,2708089973817733462,8195862936106508846,-1111518890369033396,-4754223659064624252
-3675009040647936899,-3675009040647936899,-2328163218997425612,-240359174314633445,-5148591903395022444,-8258529658421542282,-4798431998955209742
-3666646454167334466,-3666646454167334466,-7826213337362450520,2858969450431709251,-1590585250246572231,4577451034168098359,8779890754987103603
-3662111110237135231,-3662111110237135231,-6727357771678896471,7155061818771055780,-6467708104873171151,-7126520323752764957,6678691743269420670
-3605608255586388018,-3605608255586388018,5854206600849997966,-4875060556471576861,-4798431998955209742,7065704533945771463,7155061818771055780
-3581194288660477595,-3581194288660477595,-3700095596785790870,511891900317865118,7534917347133949300,1796618361228441836,4579557799493615039
-3552937095886146934,-3552937095886146934,4165127518659426948,5336562616168017846,6521856301289868251,3205047378909988692,3142843830268077617
-3482581255202910790,-3482581255202910790,5940374562401786524,-5813211845057621660,-78066964941874046,-5403733687257676872,8729086959762650511
-3469502952547705884,-3469502952547705884,-1483274517395674620,156889606517612871,623421554979899217,-2358756719610361882,-3678789633202302491
-3400154175330058574,-3400154175330058574,-6467708104873171151,7804826445069770894,5688279681867464747,-5515204090203464377,3269302169678465882
-3363563881552061188,-3363563881552061188,-8369610219380465981,4069333494579100211,5018472516978866574,-2554512494756911972,5092635400707338872
-3351656282247453586,-3351656282247453586,8912004903894879756,-2034054811536485879,8589361101754366293,7529823674661315431,3495098006178009360
-3351652027149912881,-3351652027149912881,2589533162305407436,-1403735753867098241,-9033211547111606164,5928346445655989915,-4024778022934140027
-3348652277274905234,-3348652277274905234,911037455259135591,-8948234514303933700,4045164454094417310,1577045425286888616,7529823674661315431
-3338916066794638254,-3338916066794638254,3268064929368559554,7612428320594238723,7544768317373280661,2103268612948910635,6583734846225935852
-3302834510061927448,-3302834510061927448,7664140604181040222,-2747266787901704910,-6457517220721978,-3400154175330058574,2285214528595997209
-3285397592982852407,-3285397592982852407,2916072977192006313,-1523691178084871,-2720012228333470715,-8900113512825364282,-5570129644089964821
-3275688295651945765,-3275688295651945765,-2899726011463496555,7818691400791322406,5445999759138709405,-1523691178084871,6881796783400625893
-3191013159715472435,-3191013159715472435,-3959242148361340089,-6340141548068597572,4876769046116846438,-9019233957195913605,5795281877636738272
-3173020603774823976,-3173020603774823976,4118743389464105405,7395435905985567130,7277161137091492767,-1114438937697017987,-8771338872124599367
-3170783292462058942,-3170783292462058942,-5039153034159656707,8402348887626635381,-6643406494673362190,1649752043999819668,2633209697262372913
-3161714324304758767,-3161714324304758767,-8800029253812071912,6152652267138213180,3779639438468810958,1649085803937938638,-5778988730475305016
-3136683414587095274,-3136683414587095274,-4386371945374980231,8402348887626635381,-5039153034159656707,-7120369133608664808,-3170783292462058942
-3102652803014865472,-3102652803014865472,-271938775771328391,2602221055863892168,-4625438649010928449,-5011709367955107239,-5410531116380081703
-3102446808559723934,-3102446808559723934,1436883058900979473,6201946560186605500,-5414889822782394955,-2948321821574578861,2134259819148812594
-3071732669882279801,-3071732669882279801,-8340365043226490059,-8187220755213888616,7606744605433799135,-5843518165523212471,8938071859536254465
-3058031327323357308,-3058031327323357308,5263606973029607223,4195778828921942020,8974280745225397183,5854206600849997966,5336562616168017846
-3040610224044779845,-3040610224044779845,-8950763842769120954,1649752043999819668,2633209697262372913,-5039153034159656707,-7623502978685822577
-3027055440570405664,-3027055440570405664,-330801551666885085,-1313614305945895108,-8189315446782327370,-799315203186826480,-2855910583928922225
-3020916840917845519,-3020916840917845519,957332268361319692,6644171916702621557,-3040610224044779845,2633209697262372913,8195862936106508846
-2948321821574578861,-2948321821574578861,1436883058900979473,-3102446808559723934,7459726589306441015,6201946560186605500,-401664538366009049
-2899726011463496555,-2899726011463496555,7516228655554309785,5270696484536580646,2072448887839540892,-3275688295651945765,7818691400791322406
-2855910583928922225,-2855910583928922225,-330801551666885085,-8189315446782327370,-1313614305945895108,-3027055440570405664,-799315203186826480
-2828628091730682303,-2828628091730682303,-5507019982244746725,3598164602856140626,5429045128339158843,2543311963908571128,-3552937095886146934
-2808969983997441543,-2808969983997441543,-9160910454530522563,4195778828921942020,8712996026808754180,2607211459879791691,-5507019982244746725
-2808959554282640221,-2808959554282640221,4744297321841608877,-4333957157636611418,8302949268716967655,2025471325746532174,1873952032843878490
-2774293088092853604,-2774293088092853604,-2034054811536485879,-4027027091658759481,8589361101754366293,3818189513627822856,-3716447017462787559
-2752345899464432864,-2752345899464432864,-8800029253812071912,-8189315446782327370,-2855910583928922225,-3027055440570405664,-1313614305945895108
-2747266787901704910,-2747266787901704910,3608243634452078989,-42126282997118624,-6457517220721978,7664140604181040222,-6840859460575237450
-2740396993975951758,-2740396993975951758,-5850390492300666299,-6340141548068597572,8779890754987103603,-8512461968928613053,90383487344892230
-2720012228333470715,-2720012228333470715,-8370744479086515302,-7613994611628693820,-3850803681204406658,-4700714777342103147,5719793245136119929
-2683134512107439488,-2683134512107439488,1580124381109623727,7395435905985567130,2625883933130361261,-7399665664688732365,1649085803937938638
-2667874153709252756,-2667874153709252756,7526364197140419661,8690601908689146128,3382511589554885024,4383035933260676803,-885453047081832598
-2584174137395076448,-2584174137395076448,6540624159201421051,8690601908689146128,4184543400419595673,-4798431998955209742,-1038011342017850
-2554512494756911972,-2554512494756911972,-8369610219380465981,5018472516978866574,-4037032837327175755,5092635400707338872,1415230502586719648
-2549933363319068481,-2549933363319068481,4084131344684656470,-5507019982244746725,5037221949349729844,-3700095596785790870,3739926497176994524
-2539915991213675511,-2539915991213675511,-8813724423497152538,2916072977192006313,-3285397592982852407,-1663441888197894674,-6697357763177451167
-2504825704002833401,-2504825704002833401,6664082205633624486,4508362112182399467,4102576381061107965,-5283009029345397378,-6654470039478316910
-2479936301516183562,-2479936301516183562,3906974906788964502,-9028990334396397584,-6523871595334455509,5484061377044071389,5217724704513784613
-2447632164766022033,-2447632164766022033,2267321579404324900,3099207916247126790,-7492067511846042603,-2271000159302779222,3075564241645350154
-2440247087447106971,-2440247087447106971,-360529647164834348,1567984561327445971,-7518373517401484139,-1111518890369033396,-8954346068661072425
-2402288292108892893,-2402288292108892893,1469580151036142903,2508620055362300376,-5605799891597699962,-908052164352446106,-7113155163062752691
-2382583983070627054,-2382583983070627054,-4037032837327175755,3779639438468810958,3294074907209583622,3269302169678465882,6519443272707698315
-2358756719610361882,-2358756719610361882,-1634742667970363668,5940374562401786524,-793729620925729327,2725842723638001955,-271938775771328391
-2328163218997425612,-2328163218997425612,-240359174314633445,6881796783400625893,-3675009040647936899,8115033558441775155,3142843830268077617
-2314360211211303885,-2314360211211303885,-5848514031542611523,6643427232964983922,3170775058142440102,1577045425286888616,991271693336573226
-2271000159302779222,-2271000159302779222,-8511291357261863413,8974280745225397183,-1291869519847635026,2267321579404324900,-5684357871122991503
-2097075598039554565,-2097075598039554565,8712996026808754180,-1111518890369033396,-8992201526199201450,7424795099560672335,7529823674661315431
-2069509552243850466,-2069509552243850466,9175693555063886126,428486625959995206,3716124214746295857,-7722236679806608274,-3780822597455574960
-2034054811536485879,-2034054811536485879,7529823674661315431,8912004903894879756,8589361101754366293,-4027027091658759481,911037455259135591
-2030742781169834114,-2030742781169834114,-4037032837327175755,6678691743269420670,3294074907209583622,-2382583983070627054,3779639438468810958
-1999468346928419252,-1999468346928419252,-548976469460064550,372531153711028286,428486625959995206,6783622248311192269,-8314629309720421219
-1995591062742965408,-1995591062742965408,5008913705695203000,-4228415104574264137,5424502143558028097,7534917347133949300,4300652811307550975
-1981734999963962468,-1981734999963962468,1549650080907932816,-4765711818183276269,5940374562401786524,3320201327008235211,-9033211547111606164
-1901742495252324928,-1901742495252324928,-8800029253812071912,3320201327008235211,-4228415104574264137,-6347212504547574224,511891900317865118
-1878128207048892154,-1878128207048892154,1031060816592502094,-78667914647336721,-8954346068661072425,569574447134368517,1283472251609674486
-1787737696395220629,-1787737696395220629,-3944300307678659798,-8992201526199201450,-4084394822880420062,1107739178195154647,-793729620925729327
-1730766821655383888,-1730766821655383888,3611701510490148233,2625883933130361261,2916072977192006313,3035329611795434601,-7681408188643141872
-1663441888197894674,-1663441888197894674,-1622037268576555626,-8813724423497152538,6540624159201421051,-8243488279185272615,6941466664989793964
-1654063646246197191,-1654063646246197191,7255021292858609470,4139191914110236238,5238119115012015307,-205193648629294862,943818026930898372
-1634742667970363668,-1634742667970363668,4164212115654350513,6852597772196653540,2725842723638001955,-5283009029345397378,2262656830196923781
-1633984990770981161,-1633984990770981161,-7162567255723313045,374352050712569304,-2948321821574578861,39554158227241538,-5193720747719231594
-1630229587164086350,-1630229587164086350,-6999287066519531005,-6707474286910397949,1348739322889189648,4555339116751579515,5328558001212551235
-1622037268576555626,-1622037268576555626,-1663441888197894674,6941466664989793964,3825866166263569974,-3875881534863988868,6540624159201421051
-1617279065634731389,-1617279065634731389,-4798431998955209742,6437568358552101410,3598164602856140626,357449794379078687,-790959521412948853
-1596335233529956315,-1596335233529956315,4164212115654350513,8962537427807366481,6852597772196653540,1379546145237381445,-5283009029345397378
-1590585250246572231,-1590585250246572231,7458850059926549081,9026402401132606773,511891900317865118,-3666646454167334466,-7862677531530632089
-1573329182923097618,-1573329182923097618,2372438485070148864,5018472516978866574,-548976469460064550,372531153711028286,-2554512494756911972
-1572252285162838958,-1572252285162838958,3091351089612339864,3660989387512978561,8477804012624580461,-14569272361926584,7434270606888620096
-1556169727291354289,-1556169727291354289,-377975173223377441,-8190931845319543363,430255078684584595,7155061818771055780,-5253644367331262405
-1525688508571111688,-1525688508571111688,6615662748793536194,-4233177915193302509,-8949113594875411859,-8518096793350810174,-1590585250246572231
-1492913151930215984,-1492913151930215984,-1415040208471067980,7270966256391553686,-1730766821655383888,8901449108040307914,5424502143558028097
-1492574794514500033,-1492574794514500033,-3351652027149912881,962287586799267519,-1556169727291354289,-4024778022934140027,-9019233957195913605
-1483274517395674620,-1483274517395674620,-3469502952547705884,-3780822597455574960,156889606517612871,-4132331404553626868,-3058031327323357308
-1453783314552286835,-1453783314552286835,6340108943344143104,-7399665664688732365,-4027027091658759481,7620697593009487898,7395435905985567130
-1452340812018195881,-1452340812018195881,980458131533897249,-3959242148361340089,464601875539492971,-4132331404553626868,-4625438649010928449
-1444481301861872291,-1444481301861872291,4629488036162962359,3472032465864014134,3998743085432844199,5045927063019110283,2156244701966673186
-1425776303341065806,-1425776303341065806,-4037032837327175755,6678691743269420670,5206308811707978799,-790959521412948853,660451400045043370
-1415040208471067980,-1415040208471067980,8482750322470893687,4195778828921942020,-8190931845319543363,-7331393944609614247,5211673327552264703
-1403735753867098241,-1403735753867098241,-9033211547111606164,-5363263367015469934,1549650080907932816,5092635400707338872,-3351652027149912881
-1313614305945895108,-1313614305945895108,-330801551666885085,-3027055440570405664,-8189315446782327370,-799315203186826480,-2855910583928922225
-1297580205670251233,-1297580205670251233,400125073514833994,1881534532776527237,-3912939678517879962,1854874463930846880,9042192299854648021
-1291869519847635026,-1291869519847635026,7424795099560672335,-8467102776052559275,7985545205318799060,8526042588044002101,7534917347133949300
-1199490911632553070,-1199490911632553070,-555187669877280641,-6999287066519531005,8690601908689146128,4555339116751579515,7529823674661315431
-1114438937697017987,-1114438937697017987,7395435905985567130,4118743389464105405,3320201327008235211,-4765711818183276269,-5253644367331262405
-1111518890369033396,-1111518890369033396,-4754223659064624252,2708089973817733462,8712996026808754180,8912004903894879756,-8757701761088346244
-1101832997669013246,-1101832997669013246,7933360486658437274,-5193720747719231594,-8813724423497152538,-7681408188643141872,-8243488279185272615
-1022885988494278200,-1022885988494278200,4061646345741687197,6426224004219108539,3170775058142440102,1577045425286888616,-2314360211211303885
-986193709330758766,-986193709330758766,5424502143558028097,-1995591062742965408,-8258529658421542282,-4798431998955209742,5008913705695203000
-986027724303592548,-986027724303592548,7851022564818849560,4629488036162962359,400125073514833994,-5628897645967553681,-7217198366041991957
-969155230116728853,-969155230116728853,7521700660190108859,3906974906788964502,-9028990334396397584,5484061377044071389,-2479936301516183562
-908052164352446106,-908052164352446106,-2402288292108892893,2725842723638001955,-4024778022934140027,817145340976958200,2809702925357288303
-885453047081832598,-885453047081832598,-7681408188643141872,-1663441888197894674,-1730766821655383888,1348739322889189648,-1622037268576555626
-879594538384021068,-879594538384021068,-4996336942690402156,3035329611795434601,2277184202014276839,-6728844082024523434,8195862936106508846
-861913102049789637,-861913102049789637,-9033211547111606164,-5363263367015469934,-4765711818183276269,-4050006690189978332,5258604889412591249
-860751600992244121,-860751600992244121,-7399665664688732365,3779434447835779494,7395435905985567130,-5255285107284514595,-4205346868684833897
-820343972901090172,-820343972901090172,5008913705695203000,8657408509986329668,4164212115654350513,7534917347133949300,-6074646493203713780
-799315203186826480,-799315203186826480,-330801551666885085,-1313614305945895108,-3027055440570405664,-8189315446782327370,-4974757204495953627
-793729620925729327,-793729620925729327,3495098006178009360,5847042211895226591,-6523871595334455509,-9192549002213406534,-4084394822880420062
-790959521412948853,-790959521412948853,5847042211895226591,-9192549002213406534,6678691743269420670,5217724704513784613,-3716447017462787559
-759389978085260161,-759389978085260161,-5736221996280340620,1639450243805666792,-4503975842879662368,-4996336942690402156,-1573329182923097618
-742603651309629354,-742603651309629354,-3959242148361340089,-4625438649010928449,-4132331404553626868,-7539387928750597096,4876769046116846438
-730957269757756529,-730957269757756529,8482750322470893687,-8190931845319543363,2709926970543371965,5211673327552264703,-1415040208471067980
-667193404227875686,-667193404227875686,-8243488279185272615,-3875881534863988868,-655909700262679295,-1999468346928419252,-8813724423497152538
-655909700262679295,-655909700262679295,-3875881534863988868,-5570129644089964821,-667193404227875686,-3850803681204406658,-8243488279185272615
-615912190028612956,-615912190028612956,7993526700719577624,-4509487968959834430,-5952729859839521828,880612740433495828,7088167897470452815
-601952361752157430,-601952361752157430,1580124381109623727,911037455259135591,6340108943344143104,-2683134512107439488,817145340976958200
-559964548932224920,-559964548932224920,1024145536490998555,4369833742675497700,3611701510490148233,3149164017776669829,4139191914110236238
-555187669877280641,-555187669877280641,-6999287066519531005,-7126520323752764957,-5778988730475305016,4555339116751579515,-6980020268309524947
-548976469460064550,-548976469460064550,372531153711028286,-1999468346928419252,-348408475077850711,2372438485070148864,-1573329182923097618
-541666025693385823,-541666025693385823,-4974757204495953627,-2855910583928922225,-8189315446782327370,-1313614305945895108,-3027055440570405664
-538948733779286129,-538948733779286129,7395435905985567130,-3750879736572068916,-7399665664688732365,6340108943344143104,1649085803937938638
-486686184692655504,-486686184692655504,-8964534883296838326,7088167897470452815,-6523871595334455509,6852597772196653540,-4338308747999225618
-447851796385928420,-447851796385928420,7734121175534200554,-8949113594875411859,-9086955082453789880,4911701623098526999,-6778286518036232293
-401664538366009049,-401664538366009049,-3750879736572068916,3779639438468810958,7395435905985567130,7804826445069770894,8890720798209849691
-387651900461462767,-387651900461462767,1796618361228441836,-4228415104574264137,-7986975759046428357,4300652811307550975,-307396946333196366
-377975173223377441,-377975173223377441,-1556169727291354289,-5253644367331262405,7155061818771055780,-8190931845319543363,-7126520323752764957
-360529647164834348,-360529647164834348,-2440247087447106971,-3581194288660477595,-1995591062742965408,-3700095596785790870,-8467102776052559275
-348408475077850711,-348408475077850711,4277778562135834208,372531153711028286,-548976469460064550,5962268176939710955,7943088471380012839
-330801551666885085,-330801551666885085,-1313614305945895108,-3027055440570405664,-8189315446782327370,-799315203186826480,-2855910583928922225
-307396946333196366,-307396946333196366,-4228415104574264137,4300652811307550975,-1995591062742965408,-3581194288660477595,1796618361228441836
-271938775771328391,-271938775771328391,-3102652803014865472,2602221055863892168,-2358756719610361882,-6726685468116057064,-4625438649010928449
-240359174314633445,-240359174314633445,-2328163218997425612,-3675009040647936899,6881796783400625893,8115033558441775155,-8258529658421542282
-205193648629294862,-205193648629294862,-21036008762564671,6519443272707698315,1797761064772338938,-3850803681204406658,-1654063646246197191
-170687954910264210,-170687954910264210,8402348887626635381,2134259819148812594,1012456848389051365,-3170783292462058942,-2948321821574578861
-133139342397538859,-133139342397538859,8869347744613364434,569574447134368517,-8742648016180281673,2719909253419802298,-3191013159715472435
-78667914647336721,-78667914647336721,569574447134368517,672199059798181601,1561244083438776495,-1878128207048892154,1639450243805666792
-78066964941874046,-78066964941874046,90383487344892230,-3482581255202910790,-5283009029345397378,1768976290984301641,5336562616168017846
-42126282997118624,-42126282997118624,3608243634452078989,-2747266787901704910,-6457517220721978,-6840859460575237450,7664140604181040222
-21036008762564671,-21036008762564671,-205193648629294862,-5410531116380081703,6519443272707698315,7606744605433799135,4419562057180692966
-14569272361926584,-14569272361926584,-1572252285162838958,3660989387512978561,3091351089612339864,8477804012624580461,7434270606888620096
-7527881206365368,-7527881206365368,5530820581773167955,5037221949349729844,-6584408680441477889,2103268612948910635,6031953227014493100
-6457517220721978,-6457517220721978,-2747266787901704910,3608243634452078989,-42126282997118624,-6840859460575237450,7664140604181040222
-5924996404988010,-5924996404988010,-6484638837208285334,7395435905985567130,-7331393944609614247,-4205346868684833897,-538948733779286129
-1523691178084871,-1523691178084871,-3285397592982852407,2916072977192006313,-8900113512825364282,2625883933130361261,-2720012228333470715
-1038011342017850,-1038011342017850,1283472251609674486,4184543400419595673,4716135688735489427,400125073514833994,7851022564818849560
18930987176089166,18930987176089166,2124033843135988844,-360529647164834348,-2440247087447106971,6104598399077154797,-986193709330758766
39554158227241538,39554158227241538,374352050712569304,-7162567255723313045,-5193720747719231594,2857117417189640073,4369833742675497700
90383487344892230,90383487344892230,5336562616168017846,7202701636941380671,2262656830196923781,4165127518659426948,-5283009029345397378
127799031949294618,127799031949294618,-8189315446782327370,-4974757204495953627,-799315203186826480,-1313614305945895108,-330801551666885085
139485217095648183,139485217095648183,-3780822597455574960,-1483274517395674620,-4132331404553626868,7506614456429888492,6947862790919978120
156889606517612871,156889606517612871,-3469502952547705884,1734266821019430183,5328558001212551235,-8159730897893673528,-8369610219380465981
279771472506428952,279771472506428952,621816023396605502,-4944551138301474550,-4460374799273064357,5258604889412591249,-5658245291907121574
310515487419366995,310515487419366995,-8800029253812071912,3320201327008235211,7395435905985567130,1649085803937938638,-3161714324304758767
319340024738595907,319340024738595907,9215261273565326920,-799315203186826480,-3102446808559723934,-8189315446782327370,-3027055440570405664
357449794379078687,357449794379078687,6583734846225935852,127799031949294618,-4974757204495953627,4579557799493615039,-799315203186826480
358192030955601318,358192030955601318,8195862936106508846,-8142426490949346803,6463551093741815202,-7527881206365368,-6584408680441477889
372531153711028286,372531153711028286,-548976469460064550,-1999468346928419252,-348408475077850711,2372438485070148864,8901449108040307914
374352050712569304,374352050712569304,-7162567255723313045,-5193720747719231594,39554158227241538,2857117417189640073,6941466664989793964
400125073514833994,400125073514833994,7851022564818849560,2719909253419802298,-1297580205670251233,1283472251609674486,-986027724303592548
428486625959995206,428486625959995206,-1999468346928419252,-8314629309720421219,1580124381109623727,-655909700262679295,-3875881534863988868
430255078684584595,430255078684584595,-1556169727291354289,-377975173223377441,2625883933130361261,-5253644367331262405,4814419120794996930
464601875539492971,464601875539492971,3739926497176994524,5849490334294127641,2229625391864201918,-8949113594875411859,6620060201676471218
511891900317865118,511891900317865118,-3700095596785790870,-8800029253812071912,-1901742495252324928,-4974757204495953627,-4228415104574264137
564282370384747453,564282370384747453,5227822864949117283,7993526700719577624,7187598944032799890,-8757701761088346244,-1878128207048892154
569574447134368517,569574447134368517,-78667914647336721,672199059798181601,-1878128207048892154,3660989387512978561,6947862790919978120
607684800821303652,607684800821303652,-8243488279185272615,6540624159201421051,-8813724423497152538,-667193404227875686,-1663441888197894674
621816023396605502,621816023396605502,6340108943344143104,-4944551138301474550,7395435905985567130,-8377626164558006982,-6467708104873171151
623421554979899217,623421554979899217,-3469502952547705884,7270966256391553686,8195862936106508846,-1483274517395674620,7943088471380012839
660451400045043370,660451400045043370,6678691743269420670,-6727357771678896471,3294074907209583622,-3662111110237135231,8890720798209849691
667643281369196267,667643281369196267,2262656830196923781,-5920475612630001479,2930191803881821526,-1634742667970363668,5847042211895226591
672199059798181601,672199059798181601,-78667914647336721,569574447134368517,-8258529658421542282,3660989387512978561,-1878128207048892154
734632752661830332,734632752661830332,5302085907556673015,1881534532776527237,7395435905985567130,2625883933130361261,-5161313513317812402
764116021156146784,764116021156146784,5037221949349729844,5302085907556673015,-3912939678517879962,-7809508238092432842,6989198691754522425
809601605585939618,809601605585939618,-6340141548068597572,5795281877636738272,3205047378909988692,-1590585250246572231,-6872546942144599345
817145340976958200,817145340976958200,3320201327008235211,-1114438937697017987,4118743389464105405,-9033211547111606164,7395435905985567130
834896074125772354,834896074125772354,-8208801367848627943,8428597553954921991,-8813724423497152538,-1663441888197894674,3273084325487543386
880612740433495828,880612740433495828,-4509487968959834430,-5952729859839521828,-7264217791213422584,7088167897470452815,-6255158415883847921
882422233694040097,882422233694040097,-5253644367331262405,4118743389464105405,-3750879736572068916,7395435905985567130,-377975173223377441
911037455259135591,911037455259135591,-3348652277274905234,4045164454094417310,-8948234514303933700,1577045425286888616,7529823674661315431
943818026930898372,943818026930898372,-1654063646246197191,4139191914110236238,-1622037268576555626,7255021292858609470,5238119115012015307
957332268361319692,957332268361319692,6644171916702621557,-3020916840917845519,8195862936106508846,5217724704513784613,1796618361228441836
962287586799267519,962287586799267519,-1556169727291354289,-8190931845319543363,430255078684584595,-377975173223377441,-4024778022934140027
980458131533897249,980458131533897249,-1452340812018195881,-5011709367955107239,-2504825704002833401,-7294716554902079523,464601875539492971
991271693336573226,991271693336573226,1990052153136096105,1283472251609674486,1577045425286888616,911037455259135591,4184543400419595673
1005751836898964351,1005751836898964351,7395435905985567130,3320201327008235211,4118743389464105405,-1114438937697017987,-8618420761918493321
1012456848389051365,1012456848389051365,8402348887626635381,-3170783292462058942,-170687954910264210,4313871021753084020,-4386371945374980231
1019706997674210703,1019706997674210703,4300652811307550975,1796618361228441836,-1995591062742965408,6852597772196653540,-7986975759046428357
1021466437456217445,1021466437456217445,-4974757204495953627,-3027055440570405664,-1313614305945895108,-330801551666885085,-8189315446782327370
1024145536490998555,1024145536490998555,-559964548932224920,-5065077552540450930,4369833742675497700,7181581805250416928,-5488842573681626972
1031060816592502094,1031060816592502094,3495098006178009360,-8954346068661072425,1567984561327445971,-8771338872124599367,-1878128207048892154
1060159005880386235,1060159005880386235,-3864069617285644895,-5044204125574973395,-3944300307678659798,-4831310174172854034,-6523871595334455509
1107739178195154647,1107739178195154647,-3864069617285644895,-4333056764244640444,1577045425286888616,-1787737696395220629,-1590585250246572231
1283472251609674486,1283472251609674486,4184543400419595673,-1038011342017850,400125073514833994,-5628897645967553681,2103268612948910635
1318981494172475806,1318981494172475806,-4205346868684833897,3779434447835779494,-6347212504547574224,-8279505492976427918,7395435905985567130
1348739322889189648,1348739322889189648,-1630229587164086350,-5198756378866433953,2817960273225808857,-885453047081832598,358192030955601318
1356221992133852808,1356221992133852808,-538948733779286129,3149164017776669829,5293701842202310496,-3750879736572068916,-6858665134018491791
1379546145237381445,1379546145237381445,4151147085496712967,-8085935119790093311,6062146090334604102,6910763794618680440,8657408509986329668
1415230502586719648,1415230502586719648,5092635400707338872,3269302169678465882,-5253644367331262405,-2554512494756911972,5018472516978866574
1436883058900979473,1436883058900979473,-3102446808559723934,6201946560186605500,-5414889822782394955,-2948321821574578861,7459726589306441015
1441248639512899483,1441248639512899483,-3723217532224917485,-7539387928750597096,1580124381109623727,-5784991738549272379,-7553931975579248065
1468327003955810686,1468327003955810686,4300652811307550975,7507067965574797372,7534917347133949300,5008913705695203000,1019706997674210703
1469580151036142903,1469580151036142903,-2402288292108892893,-5605799891597699962,2508620055362300376,-8627051188605351707,1567984561327445971
1549650080907932816,1549650080907932816,-9033211547111606164,5258604889412591249,-1403735753867098241,-5363263367015469934,8559816910657872807
1561244083438776495,1561244083438776495,-78667914647336721,-3678789633202302491,569574447134368517,672199059798181601,-1878128207048892154
1567984561327445971,1567984561327445971,2508620055362300376,1031060816592502094,3881851296308711302,1796618361228441836,-8954346068661072425
1577045425286888616,1577045425286888616,-3348652277274905234,911037455259135591,4045164454094417310,-8948234514303933700,991271693336573226
1580124381109623727,1580124381109623727,-2683134512107439488,7395435905985567130,6783622248311192269,-8771338872124599367,3779639438468810958
1639450243805666792,1639450243805666792,-78667914647336721,-759389978085260161,8962537427807366481,-2549933363319068481,6437568358552101410
1649085803937938638,1649085803937938638,7395435905985567130,6340108943344143104,-7399665664688732365,-7331393944609614247,-8800029253812071912
1649752043999819668,1649752043999819668,-5039153034159656707,2633209697262372913,-8950763842769120954,-3040610224044779845,-3170783292462058942
1734266821019430183,1734266821019430183,6850500272809381909,4259370161044254504,-8159730897893673528,156889606517612871,5328558001212551235
1738052593226421681,1738052593226421681,-5952729859839521828,-4509487968959834430,8586403905004879205,6044362651232258738,8224860111193157980
1768072794787289517,1768072794787289517,8215778202715904841,3273084325487543386,4369833742675497700,-5684357871122991503,2259988589066296676
1768976290984301641,1768976290984301641,-7423191370472335463,2229625391864201918,-8043889175123948305,-78066964941874046,-6156751702010469220
1796618361228441836,1796618361228441836,4300652811307550975,6620060201676471218,-1995591062742965408,-6592496241044177853,2495913984359439198
1797761064772338938,1797761064772338938,5964888566269323942,-5414889822782394955,-3850803681204406658,6201946560186605500,4785499183287168509
1854874463930846880,1854874463930846880,400125073514833994,-4278025512576376201,-1297580205670251233,5037221949349729844,2719909253419802298
1862503310075246782,1862503310075246782,-8159730897893673528,1436883058900979473,7818691400791322406,-3102446808559723934,1797761064772338938
1873952032843878490,1873952032843878490,5940374562401786524,2277184202014276839,5429045128339158843,-5813211845057621660,-5403733687257676872
1878784080584939832,1878784080584939832,-3027055440570405664,5045927063019110283,-330801551666885085,-1313614305945895108,-8189315446782327370
1881534532776527237,1881534532776527237,5302085907556673015,7229629480273331039,-1297580205670251233,400125073514833994,-3912939678517879962
1929674614667189969,1929674614667189969,6519443272707698315,4139191914110236238,6152652267138213180,5533752987392101383,2822049545552366036
1990052153136096105,1990052153136096105,-5628897645967553681,-7217198366041991957,4184543400419595673,7851022564818849560,2156244701966673186
1992928170409443117,1992928170409443117,7734121175534200554,4039031731864440026,-6654470039478316910,5087084654882097891,-5283009029345397378
2025471325746532174,2025471325746532174,7226503561499839165,-2828628091730682303,-1291869519847635026,-7387185690512762935,-3675009040647936899
2048657552251060795,2048657552251060795,7520301770873472812,-4216050818952952471,-5636731245639685654,4774970687540378081,-6820241302436968068
2072448887839540892,2072448887839540892,-8900113512825364282,-3750879736572068916,-2899726011463496555,2916072977192006313,3149164017776669829
2103268612948910635,2103268612948910635,1283472251609674486,7612428320594238723,7851022564818849560,6426224004219108539,4184543400419595673
2106559900295325351,2106559900295325351,-5148591903395022444,1649752043999819668,-8950763842769120954,-3675009040647936899,2633209697262372913
2124033843135988844,2124033843135988844,5688279681867464747,-8142426490949346803,6829640091575814990,-9192549002213406534,18930987176089166
2134259819148812594,2134259819148812594,-5039153034159656707,-170687954910264210,6201946560186605500,-3102446808559723934,-3170783292462058942
